iter	Passed	Remaining
0	198	19694
1	245	12033
2	297	9614
3	345	8282
4	388	7385
5	427	6695
6	468	6226
7	511	5880
8	554	5609
9	600	5407
10	645	5225
11	693	5085
12	737	4937
13	783	4811
14	828	4693
15	882	4630
16	925	4517
17	966	4402
18	1013	4322
19	1055	4221
20	1105	4157
21	1144	4057
22	1188	3979
23	1235	3910
24	1279	3837
25	1327	3778
26	1376	3722
27	1420	3651
28	1460	3576
29	1505	3512
30	1544	3438
31	1593	3385
32	1639	3327
33	1687	3274
34	1732	3216
35	1782	3168
36	1828	3113
37	1874	3058
38	1920	3003
39	1965	2948
40	2005	2886
41	2048	2829
42	2088	2767
43	2133	2715
44	2171	2654
45	2219	2605
46	2263	2552
47	2306	2499
48	2353	2449
49	2396	2396
50	2441	2346
51	2485	2294
52	2533	2246
53	2580	2198
54	2623	2146
55	2672	2100
56	2718	2050
57	2762	2000
58	2802	1947
59	2848	1899
60	2894	1850
61	2942	1803
62	2988	1755
63	3039	1709
64	3086	1662
65	3134	1614
66	3181	1566
67	3227	1518
68	3272	1470
69	3317	1421
70	3364	1374
71	3412	1327
72	3458	1279
73	3503	1231
74	3553	1184
75	3597	1136
76	3642	1087
77	3690	1040
78	3740	994
79	3788	947
80	3832	899
81	3878	851
82	3920	802
83	3962	754
84	4009	707
85	4052	659
86	4094	611
87	4134	563
88	4178	516
89	4221	469
90	4262	421
91	4304	374
92	4345	327
93	4387	280
94	4429	233
95	4471	186
96	4514	139
97	4556	92
98	4598	46
99	4638	0
